Epoch,Train Loss,Train Accuracy,Val Accuracy
1,0.6209150632222493,0.6856735566642908,0.6775
2,0.5056211173534393,0.8175338560228083,0.4975
3,0.4030667742093404,0.8581610833927299,0.4975
4,0.29446719686190287,0.8909479686386315,0.495
5,0.23088236351807911,0.9187455452601568,0.78
6,0.19047436316808064,0.9308624376336422,0.915
7,0.16968029737472534,0.9422665716322167,0.9375
8,0.14451036552588145,0.9501069137562367,0.9025
9,0.13137584030628205,0.9515324305060584,0.9375
10,0.11973764250675838,0.9572344975053457,0.9225
11,0.09870797842741012,0.9672131147540983,0.9275
12,0.08251027589042982,0.9757662152530292,0.9525
13,0.07261521543065706,0.977904490377762,0.8975
14,0.05721194048722585,0.9821810406272273,0.94
15,0.04761694173018138,0.9878831076265147,0.9475
16,0.03532113377004862,0.9907341411261582,0.9525
17,0.032766225499411425,0.9914468995010691,0.9475
18,0.025384688625733058,0.9942979330007128,0.945
19,0.018900816639264423,0.9978617248752673,0.9525
20,0.019885532123347125,0.9971489665003563,0.95
21,0.016530028420190017,0.9971489665003563,0.945
22,0.010718363833924134,0.9992872416250891,0.95
23,0.013755637252082427,0.9971489665003563,0.9475
24,0.009836676716804504,0.9992872416250891,0.955
25,0.006525985252422591,1.0,0.9525
26,0.006799447637361785,1.0,0.9425
27,0.0071702034367869295,1.0,0.945
28,0.004942210072961946,1.0,0.9475
29,0.005768193157079319,1.0,0.9475
30,0.005713373911567033,0.9992872416250891,0.9475
31,0.007488477067090571,0.9985744832501782,0.9475
32,0.00546445093738536,0.9992872416250891,0.955
33,0.004226049920544028,1.0,0.9375
34,0.003544189059175551,1.0,0.955
35,0.002172987776187559,1.0,0.9525
36,0.0034273881659222147,1.0,0.95
37,0.002049477466304476,1.0,0.94
38,0.0021647388852822284,1.0,0.9525
39,0.0030613964423537253,0.9992872416250891,0.94
40,0.00492090741560484,0.9992872416250891,0.9575
41,0.005073841818375513,0.9985744832501782,0.9125
42,0.006061457186782112,0.9985744832501782,0.9475
43,0.004763780736053983,0.9992872416250891,0.94
44,0.005419883987633512,0.9985744832501782,0.9075
45,0.004131419694749639,0.9992872416250891,0.935
46,0.002111638872884214,1.0,0.9575
47,0.0026229009924766916,1.0,0.9425
48,0.0030806269438471644,0.9992872416250891,0.9475
49,0.0018720994121395051,1.0,0.9525
50,0.003181983582908288,1.0,0.945
