1 [SwanLab-WARNING]:     An error occurred: 
2 [SwanLab-WARNING]:     Error getting branch name: fatal: not a git repository (or any parent up to mount point /root)
Stopping at filesystem boundary (GIT_DISCOVERY_ACROSS_FILESYSTEM not set).

3 [SwanLab-INFO]:        Experiment ResNet50_2024-01-17_14-37-00 has been registered.
4 [SwanLab-INFO]:        Run data will be saved locally in /root/onethingai-tmp/cats_dogs/swanlog/ResNet50_2024-01-17_14-37-00
5 [SwanLab-INFO]:        Experiment_name: ResNet50_2024-01-17_14-37-00
6 [SwanLab-INFO]:        Run `swanlab watch` to view SwanLab Experiment Dashboard
7 Epoch [1/20], Iteration [1/35], Loss: 0.6546
8 Epoch [1/20], Iteration [2/35], Loss: 0.5820
9 Epoch [1/20], Iteration [3/35], Loss: 0.6309
10 Epoch [1/20], Iteration [4/35], Loss: 0.6271
11 Epoch [1/20], Iteration [5/35], Loss: 0.7181
12 Epoch [1/20], Iteration [6/35], Loss: 0.5528
13 Epoch [1/20], Iteration [7/35], Loss: 0.5820
14 Epoch [1/20], Iteration [8/35], Loss: 0.5326
15 Epoch [1/20], Iteration [9/35], Loss: 0.5844
16 Epoch [1/20], Iteration [10/35], Loss: 0.5669
17 Epoch [1/20], Iteration [11/35], Loss: 0.4421
18 Epoch [1/20], Iteration [12/35], Loss: 0.4985
19 Epoch [1/20], Iteration [13/35], Loss: 0.5314
20 Epoch [1/20], Iteration [14/35], Loss: 0.5188
21 Epoch [1/20], Iteration [15/35], Loss: 0.3991
22 Epoch [1/20], Iteration [16/35], Loss: 0.4252
23 Epoch [1/20], Iteration [17/35], Loss: 0.3750
24 Epoch [1/20], Iteration [18/35], Loss: 0.3623
25 Epoch [1/20], Iteration [19/35], Loss: 0.2935
26 Epoch [1/20], Iteration [20/35], Loss: 0.4219
27 Epoch [1/20], Iteration [21/35], Loss: 0.3081
28 Epoch [1/20], Iteration [22/35], Loss: 0.2698
29 Epoch [1/20], Iteration [23/35], Loss: 0.3100
30 Epoch [1/20], Iteration [24/35], Loss: 0.3718
31 Epoch [1/20], Iteration [25/35], Loss: 0.2261
32 Epoch [1/20], Iteration [26/35], Loss: 0.2140
33 Epoch [1/20], Iteration [27/35], Loss: 0.2038
