1269 Epoch [58/70], Iteration [9/21], Loss: 0.0270
1270 Epoch [58/70], Iteration [10/21], Loss: 0.0367
1271 Epoch [58/70], Iteration [11/21], Loss: 0.0218
1272 Epoch [58/70], Iteration [12/21], Loss: 0.0273
1273 Epoch [58/70], Iteration [13/21], Loss: 0.0228
1274 Epoch [58/70], Iteration [14/21], Loss: 0.0126
1275 Epoch [58/70], Iteration [15/21], Loss: 0.0078
1276 Epoch [58/70], Iteration [16/21], Loss: 0.0300
1277 Epoch [58/70], Iteration [17/21], Loss: 0.0076
1278 Epoch [58/70], Iteration [18/21], Loss: 0.0495
1279 Epoch [58/70], Iteration [19/21], Loss: 0.0600
1280 Epoch [58/70], Iteration [20/21], Loss: 0.0227
1281 Epoch [58/70], Iteration [21/21], Loss: 1.3762
1282 Accuracy: 0.98%
1283 Epoch [59/70], Iteration [1/21], Loss: 0.0067
1284 Epoch [59/70], Iteration [2/21], Loss: 0.0082
1285 Epoch [59/70], Iteration [3/21], Loss: 0.0127
1286 Epoch [59/70], Iteration [4/21], Loss: 0.0164
1287 Epoch [59/70], Iteration [5/21], Loss: 0.0439
1288 Epoch [59/70], Iteration [6/21], Loss: 0.0208
1289 Epoch [59/70], Iteration [7/21], Loss: 0.0371
1290 Epoch [59/70], Iteration [8/21], Loss: 0.0612
1291 Epoch [59/70], Iteration [9/21], Loss: 0.0180
1292 Epoch [59/70], Iteration [10/21], Loss: 0.0520
1293 Epoch [59/70], Iteration [11/21], Loss: 0.0255
1294 Epoch [59/70], Iteration [12/21], Loss: 0.0256
1295 Epoch [59/70], Iteration [13/21], Loss: 0.0495
1296 Epoch [59/70], Iteration [14/21], Loss: 0.0471
1297 Epoch [59/70], Iteration [15/21], Loss: 0.0341
1298 Epoch [59/70], Iteration [16/21], Loss: 0.0108
1299 Epoch [59/70], Iteration [17/21], Loss: 0.0101
1300 Epoch [59/70], Iteration [18/21], Loss: 0.0061
1301 Epoch [59/70], Iteration [19/21], Loss: 0.0258
1302 Epoch [59/70], Iteration [20/21], Loss: 0.0025
1303 Epoch [59/70], Iteration [21/21], Loss: 0.5795
1304 Accuracy: 0.98%
1305 Epoch [60/70], Iteration [1/21], Loss: 0.0027
1306 Epoch [60/70], Iteration [2/21], Loss: 0.0031
1307 Epoch [60/70], Iteration [3/21], Loss: 0.0057
1308 Epoch [60/70], Iteration [4/21], Loss: 0.0054
1309 Epoch [60/70], Iteration [5/21], Loss: 0.0098
1310 Epoch [60/70], Iteration [6/21], Loss: 0.0181
1311 Epoch [60/70], Iteration [7/21], Loss: 0.0222
1312 Epoch [60/70], Iteration [8/21], Loss: 0.0073
1313 Epoch [60/70], Iteration [9/21], Loss: 0.0220
1314 Epoch [60/70], Iteration [10/21], Loss: 0.0645
1315 Epoch [60/70], Iteration [11/21], Loss: 0.0313
1316 Epoch [60/70], Iteration [12/21], Loss: 0.0175
1317 Epoch [60/70], Iteration [13/21], Loss: 0.0088
1318 Epoch [60/70], Iteration [14/21], Loss: 0.0095
1319 Epoch [60/70], Iteration [15/21], Loss: 0.0059
1320 Epoch [60/70], Iteration [16/21], Loss: 0.0025
1321 Epoch [60/70], Iteration [17/21], Loss: 0.0301
1322 Epoch [60/70], Iteration [18/21], Loss: 0.0035
1323 Epoch [60/70], Iteration [19/21], Loss: 0.0256
1324 Epoch [60/70], Iteration [20/21], Loss: 0.0423
1325 Epoch [60/70], Iteration [21/21], Loss: 0.0323
1326 Accuracy: 0.98%
1327 Epoch [61/70], Iteration [1/21], Loss: 0.0008
1328 Epoch [61/70], Iteration [2/21], Loss: 0.0021
1329 Epoch [61/70], Iteration [3/21], Loss: 0.0031
1330 Epoch [61/70], Iteration [4/21], Loss: 0.0015
1331 Epoch [61/70], Iteration [5/21], Loss: 0.0004
1332 Epoch [61/70], Iteration [6/21], Loss: 0.0010
1333 Epoch [61/70], Iteration [7/21], Loss: 0.0003
1334 Epoch [61/70], Iteration [8/21], Loss: 0.0013
1335 Epoch [61/70], Iteration [9/21], Loss: 0.0004
1336 Epoch [61/70], Iteration [10/21], Loss: 0.0481
1337 Epoch [61/70], Iteration [11/21], Loss: 0.0002
1338 Epoch [61/70], Iteration [12/21], Loss: 0.0038
1339 Epoch [61/70], Iteration [13/21], Loss: 0.0275
1340 Epoch [61/70], Iteration [14/21], Loss: 0.0016
1341 Epoch [61/70], Iteration [15/21], Loss: 0.0004
