1 [SwanLab-WARNING]:     An error occurred: 
2 [SwanLab-WARNING]:     Error getting branch name: fatal: not a git repository (or any parent up to mount point /root)
Stopping at filesystem boundary (GIT_DISCOVERY_ACROSS_FILESYSTEM not set).

3 [SwanLab-INFO]:        Experiment ResNet50_2024-01-18_17-13-55 has been registered.
4 [SwanLab-INFO]:        Run data will be saved locally in /root/onethingai-tmp/tongue_classification/swanlog/ResNet50_2024-01-18_17-13-55
5 [SwanLab-INFO]:        Experiment_name: ResNet50_2024-01-18_17-13-55
6 [SwanLab-INFO]:        Run `swanlab watch` to view SwanLab Experiment Dashboard
7 Epoch [1/70], Iteration [1/21], Loss: 0.6904
8 Epoch [1/70], Iteration [2/21], Loss: 0.8242
9 Epoch [1/70], Iteration [3/21], Loss: 0.6674
10 Epoch [1/70], Iteration [4/21], Loss: 0.7071
11 Epoch [1/70], Iteration [5/21], Loss: 0.5336
12 Epoch [1/70], Iteration [6/21], Loss: 0.5463
13 Epoch [1/70], Iteration [7/21], Loss: 0.5405
14 Epoch [1/70], Iteration [8/21], Loss: 0.4770
15 Epoch [1/70], Iteration [9/21], Loss: 0.4623
16 Epoch [1/70], Iteration [10/21], Loss: 0.4370
17 Epoch [1/70], Iteration [11/21], Loss: 0.3095
18 Epoch [1/70], Iteration [12/21], Loss: 0.2267
19 Epoch [1/70], Iteration [13/21], Loss: 0.2616
20 Epoch [1/70], Iteration [14/21], Loss: 0.4066
21 Epoch [1/70], Iteration [15/21], Loss: 0.3864
22 Epoch [1/70], Iteration [16/21], Loss: 0.2611
23 Epoch [1/70], Iteration [17/21], Loss: 0.2520
24 Epoch [1/70], Iteration [18/21], Loss: 0.1680
25 Epoch [1/70], Iteration [19/21], Loss: 0.2070
26 Epoch [1/70], Iteration [20/21], Loss: 0.2040
27 Epoch [1/70], Iteration [21/21], Loss: 0.0457
28 Accuracy: 0.50
29 Epoch [2/70], Iteration [1/21], Loss: 0.4165
30 Epoch [2/70], Iteration [2/21], Loss: 0.1542
31 Epoch [2/70], Iteration [3/21], Loss: 0.1795
32 Epoch [2/70], Iteration [4/21], Loss: 0.4134
33 Epoch [2/70], Iteration [5/21], Loss: 0.1932
34 Epoch [2/70], Iteration [6/21], Loss: 0.2111
35 Epoch [2/70], Iteration [7/21], Loss: 0.1058
36 Epoch [2/70], Iteration [8/21], Loss: 0.1616
37 Epoch [2/70], Iteration [9/21], Loss: 0.1921
38 Epoch [2/70], Iteration [10/21], Loss: 0.1516
39 Epoch [2/70], Iteration [11/21], Loss: 0.1435
40 Epoch [2/70], Iteration [12/21], Loss: 0.1243
41 Epoch [2/70], Iteration [13/21], Loss: 0.2238
42 Epoch [2/70], Iteration [14/21], Loss: 0.1577
